feature,importance
ssl_valid,0.2679059777512791
cert_age_days,0.24707620687597412
redirect_count,0.17215469162145472
ip_seen_with_many_brands,0.10996225935996444
domain_age_days,0.047712876125951924
domain_expiry_days,0.03188705073388501
registrar_reputation_score,0.029576606976311016
nameserver_reputation_score,0.027681045352507375
redirect_cross_domain_count,0.015120863113635532
entropy,0.013087992032150697
url_length,0.010130613966173796
asn_reputation_score,0.010074497268665968
https_enabled,0.009505900638650533
homoglyph_similarity_score,0.0043524654279612045
prefix_suffix,0.001011405428510517
special_char_count,0.0009366829641622052
brand_not_in_registered_domain,0.0009091109167628836
tiny_url,0.0006780731430781288
digit_count,0.00013693902669530367
subdomain_depth,5.6702132792707576e-05
brand_token_in_subdomain,4.203914343281207e-05
min_edit_distance_to_brand_domain,0.0
dns_resolves_to_ip,0.0
dns_check_pass,0.0
